以下是为你添加中文翻译后的单词分类内容：


### **日常常用单词.txt**  
ache 疼痛  
### **商务单词.txt**  
accountability 责任；问责制  
acceptance 接受；赞同  
accessibility 可及性；易接近  
accessible 易接近的；可进入的  
accord 一致；协议  
accordance 符合；一致  
accordingly 因此；相应地  
accumulation 积累；积聚  
accusation 指控；控告  
administration 管理；行政部门  
admirable 令人钦佩的；极好的  
admirer 钦佩者；爱慕者  
admittedly 诚然；公认地  
advantageous 有利的；有优势的  
advent 到来；出现  
adversary 对手；敌手  
adverse 不利的；有害的  
advisory 顾问的；咨询的  
affluence 富裕；富足  
affluent 富裕的；富足的  
allocation 分配；配置  
alliance 联盟；同盟  
allied 结盟的；联合的  
allocate 分配；分派  
allude 暗指；提及  
amendment 修正；修正案  
analytical 分析的；解析的  
anticipation 期待；预期  
appraisal 评估；评价  
appropriate 适当的；挪用  
approval 批准；认可  
approximation 近似值；接近  
arbitrary 任意的；专断的  
arbitrarily 任意地；专断地  
arbitrariness 任意性；专断  
asset 资产；优点  
assignment 任务；分配  
attainment 达到；成就  
auditorium 礼堂；观众席  
authoritarian 专制的；独裁者  
authoritarianism 威权主义；专制主义  
authoritative 权威的；可信的  
authorization 授权；批准  
authorize 授权；批准  
autonomous 自治的；自主的  
autonomy 自治；自主权  
bargain 交易；便宜货  
bargainer 交易者；谈判者  
blackmail 敲诈；勒索  
blackmailer 敲诈者；勒索者  
budget 预算；做预算  
bulk 大量；主体  
bureaucracy 官僚主义；官僚机构  
bureaucrat 官僚；官员  
bureaucratic 官僚的；官僚主义的  
candidate 候选人；求职者  
capitalism 资本主义  
capitalist 资本家；资本主义的  
catalyst 催化剂；促使变化的事物  
catalytic 催化的；起催化作用的  
ceasefire 停火；停战  
census 人口普查；统计  
certificate 证书；证明  
charter 宪章；包租  
client 客户；委托人  
clique 小团体；派系  
code 代码；准则  
coincide 一致；同时发生  
collaboration 合作；协作  
collaborative 合作的；协作的  
collective 集体的；集体  
collectively 共同地；集体地  
commercial 商业的；商业广告  
commercially 商业上；以获利为目的  
commission 委员会；佣金  
commissioner 专员；委员  
commodity 商品；日用品  
comparability 可比性；可比较性  
comparable 可比较的；类似的  
comparative 比较的；相对的  
comparatively 比较地；相对地  
compartment 隔间；分隔的空间  
compass 指南针；范围  
complement 补充；补足物  
complementarity 互补性；互补关系  
complementary 互补的；补充的  
completion 完成；结束  
compliance 遵守；顺从  
comply 遵守；服从  
composite 合成的；复合材料  
concession 让步；妥协  
condemn 谴责；判刑  
condense 浓缩；压缩  
conditional 有条件的；假定的  
confer 授予；商议  
confidentiality 机密性；保密  
confiscate 没收；充公  
conflicting 冲突的；矛盾的  
conform 遵守；符合  
congested 拥挤的；堵塞的  
conjunction 结合；连词  
consensus 共识；一致意见  
consent 同意；准许  
consequent 随之发生的；作为结果的  
consolidate 巩固；合并  
conspicuous 明显的；惹人注目的  
constant 持续的；不变的  
constituency 选区；选民  
constituent 组成的；成分  
constructive 建设性的；有益的  
consultancy 咨询公司；顾问工作  
contaminate 污染；弄脏  
contemplate 沉思；考虑  
contention 竞争；主张  
contingency 意外事件；应急情况  
continuation 继续；延续  
contract 合同；收缩  
contractor 承包商；立约人  
contributor 贡献者；投稿人  
conversion 转变；转换  
convertible 可转换的；敞篷车  
convey 传达；运输  
conviction 定罪；信念  
cooperative 合作的；合作社  
coordinate 协调；坐标  
copyright 版权；著作权  
corporation 公司；法人团体  
correlate 关联；相关物  
correspond 符合；通信  
correspondence 通信；一致  
corresponding 相应的；一致的  
corrupt 腐败的；使堕落  
counselling 咨询；辅导  
counter 柜台；反驳  
counteract 抵消；对抗  
counterpart 对应的人或物；副本  
counterproductive 适得其反的；事与愿违的  
coup 政变；成功之举  
credibility 可信性；可靠性  
credit 信用；学分  
criteria 标准；准则（criterion 的复数）  
currency 货币；流通  
current account 活期账户  
delegate 代表；授权  
delegation 代表团；授权  
deliverable 可交付成果；应交付的  
demand 需求；要求  
deduction 扣除；推论  
deficit 赤字；亏损  
deployment 部署；调度  
deposit 存款；押金  
depreciation 折旧；贬值  
deputy 副职；代理人  
designate 指定；任命  
despatch 派遣；发送（同 dispatch）  
develop 发展；开发  
developmental 发展的；发育的  
deviation 偏差；背离  
devolve 移交；转移  
digital 数字的；数码的  
diplomacy 外交；交际手段  
diplomatic 外交的；有手腕的  
directive 指示；指令  
disadvantaged 处于不利地位的；贫困的  
discrepancy 差异；不一致  
discretion 谨慎；自行决定权  
discriminate 歧视；区分  
dismantle 拆除；拆解  
dispatch 派遣；发送  
dispense 分配；分发  
disposal 处理；处置  
disposition 性情；倾向  
diversification 多样化；多元化  
diversify 使多样化；从事多种经营  
diversion 转移；消遣  
dividend 股息；红利  
dominance 优势；统治  
domestic 国内的；家庭的  
draft 草案；征兵  
due diligence 尽职调查  
duplicate 复制；副本  
duration 持续时间；期间  
e-commerce 电子商务  
economic 经济的；经济学的  
economical 经济的；节约的  
efficiency 效率；效能  
efficient 效率高的；有能力的  
eligible 合格的；有资格的  
embargo 禁运；封锁  
emission 排放；散发  
endorsement 支持；背书  
enforce 执行；实施  
enforcement 执行；实施  
engage 参与；吸引  
enhanced 增强的；提高的  
enquiry 询问；调查（同 inquiry）  
envisage 想象；设想  
epidemic 流行病；盛行的  
equilibrium 平衡；均衡  
equitable 公平的；公正的  
estate agency 房地产中介  
estate agent 房地产经纪人  
evaluate 评价；评估  
evaluation 评价；评估  
exceed 超过；超出  
excess 过量；超额  
exclusive 独有的；排外的  
exclusively 唯一地；专门地  
exemption 免除；豁免  
execute 执行；实施  
execution 执行；实行  
expenditure 支出；花费  
expertise 专门知识；专业技能  
explicit 明确的；清楚的  
export 出口；输出  
exploit 开发；利用  
exploitation 开发；剥削  
feasibility 可行性；可能性  
feasible 可行的；可能的  
fiscal 财政的；国库的  
forecast 预测；预报  
framework 框架；结构  
funding 资金；资助  
futures 期货；未来  
gain 获得；利益  
gains 收益；利润  
generate 产生；生成  
generator 发电机；发生器  
generic 一般的；通用的  
globalization 全球化  
governance 治理；管理  
gross 总的；毛的  
growth 增长；发展  
hierarchy 等级制度；层级  
implementation 实施；执行  
implicit 含蓄的；暗示的  
impose 强加；征税  
imposition 强加；征税  
incentive 激励；动机  
inclusive 包括的；包容的  
incremental 递增的；逐渐的  
indemnity 赔偿；保障  
indicate 表明；指示  
indicator 指标；指示器  
industrialist 实业家；工业家  
inefficiency 效率低下；无效率  
inefficient 效率低的；无效率的  
inflate 使膨胀；使充气  
inflation 通货膨胀；膨胀  
infrastructure 基础设施；基础建设  
infringe 侵犯；违反  
infringement 侵犯；违反  
initial 最初的；首字母  
initiate 开始；发起  
innovation 创新；革新  
input 输入；投入  
inquiry 询问；调查  
insight 洞察力；领悟  
installment 分期付款；部分  
institute 机构；研究所  
institution 制度；机构  
instrument 仪器；工具  
insufficient 不足的；不够的  
intangible 无形的；触摸不到的  
integrate 整合；使一体化  
integration 整合；一体化  
interact 互动；相互作用  
interface 界面；接口  
interim 临时的；过渡时期  
intermediary 中介；中间人  
internal 内部的；国内的  
interpretation 解释；翻译  
investment 投资；投入  
invoice 发票；发货单  
itemize 详细列出；逐条记载  
joint venture 合资企业；联合经营  
liaison 联络；联系  
liability 责任；债务  
liable 有责任的；有义务的  
licensed 有执照的；得到许可的  
liquidate 清算；清偿  
liquidation 清算；清偿  
lobby 游说；大厅  
lobbyist 说客；游说者  
macroeconomic 宏观经济的  
mainstream 主流的；主流  
management 管理；管理层  
managerial 管理的；经理的  
mandate 授权；命令  
mandatory 强制的；义务的  
margin 边缘；利润  
marketplace 市场；市集  
maturity 成熟；到期  
merger 合并；并购  
merit 优点；价值  
middleman 中间商；经纪人  
mobilization 动员；调动  
mobilize 动员；调动  
monopoly 垄断；专卖  
mortgage 抵押；抵押贷款  
negotiation 谈判；协商  
negotiator 谈判者；协商者  
nominee 被提名者；候选人  
notary 公证人；公证员  
notwithstanding 尽管；虽然  
obligatory 义务的；必须的  
oblige 迫使；施恩惠于  
objective 客观的；目标  
obligation 义务；责任  
offset 抵消；补偿  
operating 操作的；营业的  
operationally 操作上；运作上  
overhead 管理费用；高架的  
overseas 在海外；海外的  
oversight 监督；疏忽  
ownership 所有权；物主身份  
paradigm 范例；模式  
parameter 参数；界限  
partnership 伙伴关系；合作  
patent 专利；专利的  
patron 赞助人；顾客  
patronize 赞助；屈尊俯就  
payroll 工资单；在册职工人数  
penalty 惩罚；处罚  
pension 养老金；退休金  
per annum 每年  
performance 表现；性能  
periodic 定期的；周期性的  
periodically 定期地；周期性地  
permanent 永久的；永恒的  
perpetual 永久的；不断的  
perpetuate 使永久；使持续  
perspective 观点；视角  
pledge 誓言；保证  
policy 政策；策略  
portfolio 投资组合；文件夹  
position 位置；职位  
posture 姿势；态度  
premium 保险费；溢价  
president 总统；总裁  
prestige 声望；威望  
prevalent 流行的；普遍的  
prime 主要的；最好的  
principal 最重要的；本金  
principally 主要地；首要地  
priority 优先；优先权  
privatization 私有化；私营化  
privilege 特权；优惠  
proceeding 程序；诉讼  
proceeds 收入；收益  
process 过程；处理  
processing 处理；加工  
produce 生产；农产品  
productivity 生产力；生产率  
profit 利润；收益  
program 程序；计划（同 programme）  
programme 计划；节目  
projection 预测；投影  
promote 促进；提升  
promotion 促进；提升  
prompt 迅速的；促使  
proof 证明；证据  
proposal 提议；建议  
prospectus 招股说明书；简介  
provider 提供者；供应商  
provision 规定；供应  
provisional 临时的；暂定的  
provisionally 临时地；暂定地  
provocative 挑衅的；煽动性的  
proximity 接近；邻近  
prudent 谨慎的；明智的  
publication 出版；出版物  
puff 喘气；吹嘘  
pull 拉；拖  
pulse 脉搏；脉冲  
punitive 惩罚性的；刑罚的  
puppet 木偶；傀儡  
purchase 购买；购买的东西  
purity 纯净；纯洁  
pursuit 追求；追赶  
pyramid 金字塔；金字塔形结构  


### **职场单词.txt**  
administer 管理；执行  
administration 管理；行政部门  
admit 承认；准许进入  
advance 前进；进步  
advocate 提倡；拥护者  
affiliate 附属机构；使附属  
agenda 议程；日程表  
allocation 分配；配置  
ally 盟友；同盟国  
annual 年度的；年刊  
appraisal 评估；评价  
apprentice 学徒；徒弟  
assembly 集会；装配  
attendance 出席；到场人数  
authority 权威；当局  
available 可获得的；有空的  
board 董事会；木板  
brief 简短的；摘要  
briefing 简报；情况介绍  
candidate 候选人；求职者  
colleague 同事；同僚  
commission 委员会；佣金  
commissioner 专员；委员  
compensate 补偿；赔偿  
compensation 补偿；赔偿  
comply 遵守；服从  
conference 会议；研讨会  
confirm 确认；证实  
consideration 考虑；体贴  
consultancy 咨询公司；顾问工作  
consultation 咨询；商议  
contract 合同；收缩  
contractor 承包商；立约人  
coordinate 协调；坐标  
coordination 协调；配合  
coordinator 协调员；调度员  
delegate 代表；授权  
delegation 代表团；授权  
department 部门；系  
deputy 副职；代理人  
dismiss 解雇；解散  
dispatch 派遣；发送  
duty 职责；义务  
employee 雇员；员工  
employer 雇主；老板  
employment 就业；职业  
endorse 支持；背书  
endorsement 支持；背书  
enrol 登记；注册  
enrollment 登记；注册  
evaluate 评价；评估  
evaluation 评价；评估  
excel 擅长；突出  
executive 执行的；高管  
expense 费用；开支  
facilitate 促进；使容易  
facilitation 促进；简易化  
file 文件；档案  
filter 过滤器；筛选  
finance 金融；财政  
financial 金融的；财政的  
floor 地板；楼层  
format 格式；版式  
framework 框架；结构  
hierarchy 等级制度；层级  
human resources 人力资源  
incentive 激励；动机  
induction 入职培训；归纳  
infrastructure 基础设施；基础建设  
interview 面试；采访  
interviewer 面试官；采访者  
intern 实习生；实习  
internship 实习；实习期  
job 工作；职业  
liaison 联络；联系  
management 管理；管理层  
managerial 管理的；经理的  
mandate 授权；命令  
memo 备忘录；便条  
mentor 导师；指导者  
mission 使命；任务  
objective 客观的；目标  
offline 离线的；线下的  
onboard 入职；在船上  
on-site 现场的；实地的  
operation 操作；运营  
overtime 加班；加班费  
package 包裹；套装  
paperwork 文书工作；文件  
performance 表现；性能  
perk 津贴；额外福利  
personnel 人事部门；全体人员  
position 位置；职位  
post 岗位；张贴  
promote 促进；提升  
promotion 促进；提升  
project 项目；计划  
projector 投影仪；放映机  
proofread 校对；校勘  
protocol 协议；礼仪  
pulse 脉搏；脉冲  
pension 养老金；退休金  
qualification 资格；条件  
recruit 招聘；招募  
recruitment 招聘；招募  
redundancy 裁员；冗余  
register 登记；注册  
regulate 管理；调节  
regulation 管理；规则  
rehearsal 排练；排演  
report 报告；汇报  
representative 代表；典型的  
resign 辞职；辞去  
resignation 辞职；辞呈  
review 回顾；审查  
routine 常规；例行的  
salary 薪水；工资  
schedule 时间表；安排  
senior 高级的；上司  
shift 轮班；改变  
skill 技能；技巧  
staff 员工；全体职员  
strategy 策略；战略  
supervise 监督；管理  
supervision 监督；管理  
supervisor 主管；监督者  
team 团队；组  
team-mate 队友；同伴  
teamwork 团队合作；协作  
temporary 临时的；暂时的  
tier 层级；等级  
training 培训；训练  
understaffed 人手不足的；人员短缺的  
update 更新；使现代化  
vacancy 空缺；空位  
verify 核实；验证  
workforce 劳动力；职工总数  
workload 工作量；工作负担  
workstation 工作站；工作地点  


### **影视单词.txt**  
aesthetic 美学的；审美的  
aesthetically 审美地；美学上地  
actor 演员；男演员  
actress 女演员  
animation 动画；动画片  
animated 动画的；活跃的  
artistic 艺术的；有艺术性的  
audience 观众；听众  
author 作者；创始人  
cameraman 摄影师；摄像师  
casting 选角；铸造  
character 角色；性格  
cinema 电影院；电影  
cinematic 电影的；影片的  
clip 片段；剪辑  
comedy 喜剧；喜剧片  
director 导演；主管  
drama 戏剧；剧本  
editor 编辑；剪辑师  
film 电影；胶片  
film-maker 电影制作人  
film-making 电影制作  
genre 类型；体裁  
hero 英雄；男主角  
heroine 女主角；女英雄  
horror 恐怖；恐怖片  
image 图像；形象  
imagery 意象；比喻  
legend 传奇；传说  
movie 电影；影片  
narrate 叙述；讲述  
narrative 叙事；叙述的  
narrator 叙述者；解说员  
performance 表演；表现  
plot 情节；密谋  
producer 制片人；生产者  
production 制作；生产  
scene 场景；场面  
script 剧本；脚本  
sequel 续集；续篇  
soundtrack 原声音乐；声带  
stage 舞台；阶段  
star 明星；主演  
storyline 故事情节；剧情  
studio 工作室；制片厂  
subtitle 字幕；副标题  
tale 故事；传说  
theatrical 戏剧的；夸张的  
tragedy 悲剧；灾难  
viewer 观众；观察者  
visual 视觉的；可视化的  
visualization 可视化；想象  
visualize 可视化；想象  
wholesome 健康的；有益的
