好的，这是您提供的单词列表及其对应的中文翻译：

abandon 放弃
inadequate 不足的
inadequately 不足地
inappropriacy 不恰当
inappropriate 不恰当的
inappropriately 不恰当地
inappropriateness 不恰当
inbox 收件箱
incentive 激励
incident 事件
incorrect 不正确的
incorrectly 不正确地
increasingly 越来越多地
incredible 难以置信的
incredibly 难以置信地
index 索引
indication 指示
indirect 间接的
indirectly 间接地
individual 个人的
individual 个人
individually 独立地
indoor 室内的
indoors 在室内
inequality 不平等
inevitable 不可避免的
inevitably 不可避免地
infant 婴儿
infect 感染
infection 感染
inferior 低劣的
infinite 无限的
infinitive 不定式
inflation 通货膨胀
inflict 施加
infliction 施加
influential 有影响力的
inform 通知
ingredient 成分
inhabit 居住
inhabitable 适合居住的
inhabitant 居民
inherit 继承
initial 最初的
initial 最初的
initially 最初
initiative 主动性
inject 注射
injection 注射
injured 受伤的
ink 墨水
inn 小旅馆
inner 内部的
innocence 无辜
innocent 无辜的
innocently 无辜地
innovation 创新
input 输入
inquiry 询问
inspect 检查
inspection 检查
inspector 检查员
inspiration 灵感
inspire 激励
install 安装
installation 安装
instance 例子
instant 瞬间的
instantly 立即
instinct 本能
institute 机构
institution 机构
instruct 指示
instructor 教练
insufficiency 不足
insufficient 不足的
insufficiently 不足地
insult 侮辱
insult 侮辱
insulting 侮辱性的
insultingly 侮辱性地
insure 投保
intellectual 知识分子
intellectually 智力上地
intense 强烈的
intensely 强烈地
intensive 密集的
intensively 密集地
intentional 故意的
intentionally 故意地
interact 互动
interaction 互动
interactive 互动的
interactively 互动地
interactivity 互动性
interfere 干涉
interference 干涉
interior 内部
internal 内部的
internally 内部地
interpret 解释
interpretation 解释
interval 间隔
intervene 干预
intervention 干预
interview 面试
interviewing 面试
invade 入侵
invasion 入侵
invest 投资
investigator 调查员
investment 投资
investor 投资者
invisibility 隐形
invisible 看不见的
invisibly 看不见地
involvement 参与
irrelevant 不相关的
irrelevantly 不相关地
irritate 刺激
irritated 恼怒的
irritating 恼人的
irritatingly 恼人地
issue 问题
IT 信息技术
jail 监狱
jam 果酱
jaw 下巴
jazz 爵士乐
jealousy 嫉妒
jet 喷气机
jewel 珠宝
jewellery 珠宝
jigsaw 拼图
jog 慢跑
jogging 慢跑
joint 关节
jointly 共同地
journal 日记
journalism 新闻业
judgment 判断
judo 柔道
jug 壶
juggle 杂耍
juiciness 多汁
juicy 多汁的
jumper 套头衫
junction 路口
jungle 丛林
jury 陪审团
just 仅仅
justification 理由
justified 有理由的
justify 证明...正当
justly 公正地
karate 空手道
keen 敏锐的
keenly 敏锐地
keenness 敏锐
ketchup 番茄酱
key 钥匙
key 关键的
kick 踢
kid 小孩
kidding 开玩笑
kidnap 绑架
kidnapper 绑架者
kidnapping 绑架
kidney 肾脏
killer 杀手
killing 杀戮
kindly 亲切地
kindness 善良
kingdom 王国
kit 工具包
kneel 跪下
knit 编织
knitter 编织者
knock 敲
knot 结
known 已知的
labour 劳动
lack 缺乏
lacking 缺乏的
lad 小伙子
lamb 羔羊
landing 着陆
landlord 房东
lap 大腿
largely 主要地
laser 激光
lastly 最后
latter 后者
launch 发射
launch 推出
layout 布局
lead 领导
leadership 领导力
leading 领先的
leaflet 传单
leak 泄漏
leak 漏洞
lean 倾斜
leap 跳跃
leap 跳跃
learner 学习者
learning 学习
least 最少的
leave 离开
lecture 讲座
lecturer 讲师
left-hand 左手的
left-handed 左撇子
legalization 合法化
legalize 使...合法化
legally 合法地
legend 传说
legendary 传奇的
legislation 立法
legitimacy 合法性
legitimate 合法的
legitimately 合法地
leisure 休闲
leisure centre 休闲中心
lemonade 柠檬水
lengthy 漫长的
lens 镜头
lesser 较小的
lethal 致命的
level 水平
liar 说谎者
liberty 自由
librarian 图书管理员
librarianship 图书馆学
lifestyle 生活方式
lifetime 一生
lighting 照明
lightly 轻轻地
lightning 闪电
like 喜欢
likelihood 可能性
likely 可能的
limb 肢体
limitation 限制
line 线
linguistic 语言的
linguistically 语言学地
lipstick 口红
liquid 液体
literally 确实地
literary 文学的
live 居住
live 活着的
liveliness 活泼
lively 活泼的
liver 肝脏
living 活着的
lizard 蜥蜴
loan 贷款
lobster 龙虾
locally 当地地
locate 定位
log 木头
log 记录
logic 逻辑
logical 逻辑的
logically 逻辑地
long 长的
long-term 长期
loop 循环
loser 失败者
lounge 休息室
lover 爱人
loving 充满爱的
lovingly 充满爱意地
lower 降低
lowered 降低的
loyal 忠诚的
loyally 忠诚地
loyalty 忠诚
luckily 幸运地
luggage 行李
lump 块
lunchtime 午餐时间
lung 肺
luxury 奢侈
machinery 机械
madness 疯狂
magical 神奇的
magically 神奇地
magnet 磁铁
magnetic 磁性的
magnetically 磁性地
magnificence 壮丽
magnificent 壮丽的
magnificently 壮丽地
maid 女仆
mailbox 邮箱
main clause 主句
maintenance 维护
make 制造
maker 制造者
make-up 化妆品
mama 妈妈
mammal 哺乳动物
mammalian 哺乳动物的
mankind 人类
mansion 大厦
manual 手册
manual 手工的
manually 手动地
manufacture 制造
manufacturer 制造商
manufacturing 制造业
marathon 马拉松
marble 大理石
march 行进
march 三月
margarine 人造黄油
margin 边缘
marine 海洋的
marked 显著的
marker 记号笔
marketing 营销
marvellous 了不起的
marvellously 了不起地
masculine 男性的
mask 面具
mass 大量
mass 大众
master 大师
master 掌握
masterpiece 杰作
mat 垫子
mate 伙伴
mathematical 数学的
mathematically 数学地
mattress 床垫
mature 成熟的
maturely 成熟地
meaningful 有意义的
meaningfully 有意义地
means 手段
meantime 同时
measure 测量
mechanic 机械师
mechanical 机械的
mechanically 机械地
mechanism 机制
medieval 中世纪的
melon 瓜
melt 融化
memorable 难忘的
memorably 难忘地
memorial 纪念碑
memorize 记住
mend 修理
mention 提及
mentor 导师
mercy 仁慈
merely 仅仅
merit 优点
merriness 欢乐
merry 愉快的
mess 混乱
metaphor 隐喻
microphone 麦克风
midday 中午
middle age 中年
middle-aged 中年的
middle-class 中产阶级的
middle class 中产阶级
middle name 中间名
mighty 强大的
mild 温和的
mildness 温和
military 军事的
mill 磨坊
millimetre 毫米
millionaire 百万富翁
mine 矿
miner 矿工
mineral 矿物
minimal 最小的
minimally 最小地
minimize 最小化
mining 采矿
minister 部长
mint 薄荷
miracle 奇迹
misery 痛苦
mislead 误导
misleading 误导性的
misleadingly 误导性地
missing 丢失的
mission 任务
mist 薄雾
mistake 错误
misty 雾蒙蒙的
misunderstand 误解
misunderstanding 误解
mix 混合
mixed 混合的
moan 呻吟
moaner 抱怨者
mob 暴民
mobile 移动的
model 模型
moderate 适度的
modest 谦虚的
modestly 谦虚地
modify 修改
moisture 湿气
molecular 分子的
molecule 分子
monitor 监控
monitor 显示器
monopoly 垄断
monster 怪物
monthly 每月的
monument 纪念碑
moral 道德的
moreover 此外
mortgage 抵押贷款
mosque 清真寺
motel 汽车旅馆
mother-in-law 岳母/婆婆
motion 运动
motivate 激励
motivation 动机
motivational 激励的
motive 动机
motiveless 无动机的
motor 马达
motorcycle 摩托车
motorcycling 摩托车运动
motorcyclist 摩托车手
mount 登上
mount 山
movie star 电影明星
moving 感人的
movingly 感人地
MP 议员
mud 泥
muddy 泥泞的
mug 马克杯
multiple 多个的
multiply 乘以
mumble 喃喃自语
murderer 杀人犯
muscular 肌肉发达的
muscularity 肌肉发达
musical 音乐的
mustard 芥末
mutter 咕哝
muttering 咕哝
mysterious 神秘的
mysteriously 神秘地
namely 也就是
nap 小睡
nationality 国籍
nationally 全国性地
nationwide 全国范围的
native 本地的
native speaker 母语者
naturally 自然地
naughtily 淘气地
naughtiness 淘气
naughty 淘气的
navy 海军
near 靠近
necessity 必要性
necktie 领带
needle 针
neglect 忽视
neglect 忽视
negotiate 谈判
negotiation 谈判
neighbourhood 邻里
nerve 神经
nest 巢
neutral 中立的
neutrally 中立地
nevertheless 尽管如此
newly 新近
newsletter 时事通讯
New Year 新年
New Year's Day 元旦
New Year's Eve 除夕
nicely 很好地
nightmare 噩梦
nightmarish 噩梦般的
nitrogen 氮
nod 点头
nod 点头
nonetheless 尽管如此
non-fiction 非小说类
nonsense 胡说
northeast 东北
northeast 东北部
northwest 西北
northwest 西北部
notable 值得注意的
notably 显著地
note 笔记
noticeable 显而易见的
noticeably 显著地
noticeboard 布告栏
notion 概念
novel 小说
novelist 小说家
nowadays 如今
nuclear 核的
nude 裸体的
nuisance 麻烦
numb 麻木的
numbly 麻木地
numbness 麻木
numerous 许多的
nursery 幼儿园
nursing 护理
nylon 尼龙
oak 橡树
object 物体
objection 反对
objective 目标
obligation 义务
observation 观察
observational 观察的
observe 观察
observer 观察者
obsolete 过时的
obstacle 障碍
occasional 偶尔的
occupy 占据
odds 几率
offend 冒犯
offender 冒犯者
offensive 冒犯的
offensively 冒犯地
offensiveness 冒犯
officially 官方地
old age 老年
olive 橄榄
olive oil 橄榄油
omit 省略
one another 互相
ongoing 正在进行的
opening 开幕
openly 公开地
opera 歌剧
operatic 歌剧的
operatically 歌剧地
operator 操作员
oppose 反对
opposed 反对的
opposite 相反的
opposition 反对
opt 选择
optimism 乐观
optimistic 乐观的
optional 可选的
oral 口头的
orally 口头地
orchestra 管弦乐队
organ 器官
organic 有机的
organically 有机地
organized 有组织的
original 原始的
originate 起源
outbreak 爆发
outcome 结果
outdoor 户外的
outdoors 在户外
outer 外部的
outfit 服装
outlet 出口
outline 轮廓
outline 概述
outlook 前景
output 输出
outstanding 杰出的
overall 总体上
overall 总的
overcome 克服
overhead 在头顶上
overlook 俯瞰
overnight 过夜
overnight 一夜之间
overseas 海外的
overturn 推翻
overweight 超重的
owl 猫头鹰
ownership 所有权
oxygen 氧气
pace 步伐
pad 垫
painter 画家
palace 宫殿
pale 苍白的
palm 手掌
panel 面板
panic 恐慌
panic 恐慌
parade 游行
paradise 天堂
parallel 平行的
parcel 包裹
pardon 原谅
pardon 原谅
parrot 鹦鹉
participant 参与者
participate 参与
participation 参与
participle 分词
particular 特定的
partnership 伙伴关系
part of speech 词性
part-time 兼职的
part-timer 兼职人员
passage 通道
passing 通过
passing 经过
passion 热情
passionate 热情的
passionately 热情地
passive 被动的
passive 被动语态
passively 被动地
passivity 被动
passport 护照
paste 粘贴
paste 糊状物
past participle 过去分词
pastry 糕点
pat 轻拍
patch 补丁
pathetic 可怜的
pathetically 可怜地
patience 耐心
pavement 人行道
paw 爪子
PC 个人电脑
PE 体育
peaceful 和平的
peacefully 和平地
peacefulness 和平
peak 山顶
pearl 珍珠
peculiar 奇特的
pedal 踏板
pedestrian 行人
pedestrian crossing 人行横道
peel 剥皮
peel 果皮
peer 同龄人
peer 凝视
penalty 惩罚
penguin 企鹅
pension 养老金
pensioner 养老金领取者
perceive 感知
percentage 百分比
perception 感知
performer 表演者
perfume 香水
perfumed 有香味的
permanently 永久地
permit 允许
permit 许可证
persist 坚持
personnel 人员
perspective 视角
petal 花瓣
phase 阶段
phenomenon 现象
photocopy 复印
photocopy 复印件
photocopying 复印
photograph 照片
photographer 摄影师
photographic 摄影的
photographically 摄影地
photography 摄影
phrasal verb 短语动词
physically 身体上地
physician 医生
picture 图片
pillar 柱子
pin 大头针
pine 松树
pineapple 菠萝
pint 品脱
pistol 手枪
pit 坑
pitch 沥青
pity 怜悯
pity 遗憾
place 地方
plain 朴素的
plant 植物
platform 平台
plead 恳求
pleasant 愉快的
pleasantly 愉快地
plot 情节
plum 李子
plumber 水管工
plus 加上
podcast 播客
pointed 尖的
point of view 观点
poison 毒药
poisonous 有毒的
poisonously 有毒地
poke 戳
police station 警察局
politically 政治上地
poll 民意调查
pollute 污染
pollution 污染
pond 池塘
pony 小马
poorly 差的
poorly 差地
pop 流行音乐
pop 砰的一声
popularity 流行
portability 便携性
portable 便携的
portion 部分
portrait 肖像
portray 描绘
pose 姿势
possess 拥有
possession 拥有
postcode 邮政编码
postpone 推迟
postponement 推迟
potential 潜在的
potentially 潜在地
pottery 陶器
poverty 贫困
powder 粉末
practically 实际上
pray 祈祷
precious 珍贵的
preciously 珍贵地
preciousness 珍贵
precise 精确的
precisely 精确地
predictability 可预测性
predictable 可预测的
predictably 可预测地
prediction 预测
predominantly 主要地
preference 偏好
pregnancy 怀孕
pregnant 怀孕的
prejudice 偏见
prejudiced 有偏见的
premise 前提
preparation 准备
prepared 准备好的
prescribe 开药
prescription 处方
presence 存在
presentation 演示
presentational 演示的
present participle 现在分词
present perfect 现在完成时
present tense 现在时
preservable 可保存的
preserve 保存
preserver 保护者
presidential 总统的
presumably 大概
presume 假定
prevention 预防
price 价格
primarily 主要地
primary 主要的
primary school 小学
Prime Minister 首相
primitive 原始的
primitively 原始地
primitiveness 原始
principal 主要的
principal 校长
print 打印
prior 在前的
priority 优先
privacy 隐私
privilege 特权
privileged 享有特权的
pro 专业的
probability 可能性
probable 可能的
procedure 程序
proceed 继续
process 过程
productive 高产的
productively 富有成效地
profession 职业
professional 专业的
profile 简介
profitable 有利可图的
profitably 有利可图地
profound 深远的
progress 进步
prohibit 禁止
promote 促进
promotion 晋升
prompt 迅速的
prompt 提示
promptness 迅速
prone 倾向于
proneness 倾向
proof 证据
propaganda 宣传
propagandist 宣传员
propagandize 宣传
proportion 比例
proposal 提案
propose 提议
proposed 提议的
prosecute 起诉
prosecution 起诉
prospect 前景
protein 蛋白质
protest 抗议
protest 抗议
protester 抗议者
proverb 谚语
provided 假如
providing 假如
province 省
provision 提供
provoke 激怒
PS 附言
psychiatric 精神病学的
psychiatrically 精神病学地
psychiatrist 精神病医生
psychological 心理的
psychologically 心理上地
psychologist 心理学家
psychology 心理学
public holiday 公共假日
publicity 宣传
publicly 公开地
public transport 公共交通
publisher 出版商
publishing 出版
puddle 水坑
pump 泵
pump 抽水
pumpkin 南瓜
pun 双关语
punch 拳打
punctuation 标点符号
punctuation mark 标点符号
punish 惩罚
purchasable 可购买的
purchase 购买
purchaser 购买者
purely 纯粹地
pursue 追求
push 推
puzzle 谜
puzzled 困惑的
puzzling 令人困惑的
pyjama 睡衣
pyjamas 睡衣
qualification 资格
qualified 合格的
qualify 合格
quarrel 争吵
quarrel 争吵
query 查询
question mark 问号
questionnaire 问卷
queue 队列
quick 快的
quit 放弃
quotation 引用
quotation mark 引号
quote 引用
quote 引用
racial 种族的
racially 种族上地
racism 种族主义
rack 架子
racket 球拍
radiator 散热器
radical 激进的
rage 狂怒
raid 突袭
raid 突袭
railroad 铁路
rainbow 彩虹
raincoat 雨衣
ranch 牧场
random 随机的
randomly 随机地
randomness 随机性
range 范围
rape 强奸
rape 强奸
rapid 快速的
rapidity 快速
rapidly 快速地
rat 老鼠
rating 评级
ratio 比例
rational 理性的
rationality 理性
rationally 理性地
readily 容易地
realistic 现实的
rear 后部
rear 抚养
reasonably 合理地
reassure 使...安心
reassuring 令人安心的
reassuringly 令人安心地
rebel 反叛
rebellion 叛乱
recall 回忆
receiver 接收器
reception 接待
receptionist 接待员
reckon 认为
recognition 认可
recommendation 推荐
recorder 录音机
recording 录音
recovery 恢复
recreation 娱乐
recreational 娱乐的
recruit 招募
recruiter 招聘人员
recruitment 招聘
recycle 回收
recycling 回收
redundant 多余的
referee 裁判
reflection 反射
reform 改革
reform 改革
refugee 难民
refund 退款
refusal 拒绝
regain 恢复
regard 认为
regard 尊重
regarding 关于
regardless 不管
register 注册
register 登记
registration 注册
regret 后悔
regulation 规定
reinforce 加强
reject 拒绝
rejection 拒绝
relative 相对的
relative clause 关系从句
relatively 相对地
relaxation 放松
relaxing 令人放松的
release 释放
relevance 相关性
reliability 可靠性
reliable 可靠的
reliably 可靠地
relief 解脱
relieve 缓解
relieved 感到宽慰的
reluctant 不情愿的
reluctantly 不情愿地
remaining 剩余的
remains 遗迹
remark 评论
remarkable 卓越的
remarkably 卓越地
remedy 补救
reminder 提醒
remote 遥远的
remoteness 遥远
removal 移除
rental 租赁
repair 修理
repair 修理
repairer 修理工
repay 偿还
repeat 重复
repeatedly 反复地
repetition 重复
replacement 替换
representation 代表
representative 代表
reputation 名誉
request 请求
rescue 营救
rescue 救援
rescuer 救援人员
research 研究
researcher 研究员
reserve 预订
reservoir 水库
resident 居民
residential 居住的
resign 辞职
resignation 辞职
resist 抵抗
resistance 抵抗
resolve 解决
resort 度假村
respectability 可敬
respectable 可敬的
respectably 可敬地
respective 各自的
respectively 各自地
restoration 恢复
restore 恢复
restrict 限制
restriction 限制
result 结果
resume 简历
resume 恢复
retain 保留
retire 退休
retired 退休的
retirement 退休
revenge 复仇
revengeful 复仇的
reverse 颠倒
revise 修改
revolution 革命
reward 奖励
rhythm 节奏
rib 肋骨
ribbon 缎带
rid 摆脱
rider 骑手
ridiculous 可笑的
ridiculously 可笑地
ridiculousness 可笑
rifle 步枪
right-hand 右手的
right-handed 右撇子
rightly 正确地
rigid 僵硬的
rigidity 僵硬
rigidly 僵硬地
rinse 冲洗
riot 暴动
rip 撕裂
ripe 成熟的
ripeness 成熟
risk 风险
riskiness 冒险
risky 冒险的
rival 竞争对手
roar 咆哮
roast 烤
roast 烤肉
rob 抢劫
robber 强盗
robbery 抢劫
robe 长袍
robot 机器人
rocket 火箭
roll 滚动
romance 浪漫
romantic 浪漫的
romantically 浪漫地
roommate 室友
rot 腐烂
rotten 腐烂的
rottenness 腐烂
round 圆的
routine 例行公事
routine 例行的
routinize 使...例行化
row 行
rower 划船者
rubber 橡胶
rucksack 背包
ruin 毁坏
ruin 废墟
rumour 谣言
runner 跑步者
runway 跑道
rural 乡村的
rush 冲
rush hour 高峰期
sack 麻袋
sacred 神圣的
sacredness 神圣
sacrifice 牺牲
sacrifice 牺牲
saddle 马鞍
sadly 悲伤地
sadness 悲伤
safely 安全地
sail 航行
sailor 水手
saint 圣人
sake 缘故
salesman 销售员
salesperson 销售人员
salmon 鲑鱼
salty 咸的
sample 样本
sandal 凉鞋
satellite 卫星
satisfaction 满意
satisfactorily 令人满意地
satisfactory 令人满意的
satisfy 使...满意
satisfying 令人满意的
saucepan 平底锅
saucer 茶碟
saving 储蓄
saw 锯
saw 锯
say 说
saying 谚语
scan 扫描
scan 扫描
scandal 丑闻
scanner 扫描仪
scar 疤痕
scarce 稀缺的
scarcely 几乎不
scatter 分散
scenery 风景
science fiction 科幻小说
scooter 滑板车
scope 范围
scout 侦察
scramble 争夺
scrap 碎片
scrape 刮
scratch 刮痕
screen 屏幕
screw 螺丝
script 剧本
scrub 擦洗
sculpture 雕塑
seafood 海鲜
seal 海豹
seal 密封
search engine 搜索引擎
seat 座位
seat belt 安全带
secondarily 其次
secondary 次要的
second-hand 二手的
secondly 其次
secretly 秘密地
sector 部门
secure 安全的
seize 抓住
seldom 很少
selfish 自私的
selfishly 自私地
selfishness 自私
seller 卖家
semicolon 分号
seminar 研讨会
senator 参议员
senatorial 参议员的
sensation 感觉
sense 感觉
sensible 明智的
sensibly 明智地
sensitive 敏感的
sensitively 敏感地
sentence 句子
separation 分离
sequence 顺序
servant 仆人
server 服务器
service 服务
session 会议
setting 设置
settlement 解决
severely 严厉地
sexuality 性欲
shade 阴影
shake 摇动
shape 形状
shark 鲨鱼
sharply 尖锐地
shatter 粉碎
shed 棚子
shed 脱落
sheer 纯粹的
shelter 庇护所
sheriff 治安官
shield 盾牌
shield 保护
shift 转移
shift 轮班
shininess 光泽
shiny 有光泽的
shiver 颤抖
shooting 射击
shop assistant 店员
shopper 购物者
short 短的
shortage 短缺
short-term 短期
shovel 铲子
shrink 收缩
shrug 耸肩
shy 害羞的
shyly 害羞地
shyness 害羞
sickness 疾病
siege 围攻
sigh 叹息
sigh 叹息
sightseeing 观光
signature 签名
significance 意义
significantly 显著地
silk 丝绸
similarity 相似性
similarly 类似地
sin 罪
single 单一的
sip 小口喝
sister-in-law 嫂子/弟媳/大姨子/小姨子
situated 位于
skate 滑冰
skate 滑冰
skateboard 滑板
skateboarder 滑板手
skateboarding 滑板运动
skater 滑冰者
sketch 素描
sketch 素描
ski 滑雪
ski 滑雪板
skilled 熟练的
skip 跳过
skull 头骨
slam 砰地关上
slap 拍打
slash 斜线
slash 削减
slave 奴隶
sleeve 袖子
slice 薄片
slide 滑动
slim 苗条的
slip 滑倒
slipperiness 滑
slippery 滑的
slogan 口号
slope 斜坡
smash 砸碎
smoker 吸烟者
smooth 光滑的
sneaker 运动鞋
sniff 嗅
snowstorm 暴风雪
soak 浸泡
sob 抽泣
so-called 所谓的
socially 社会上地
social networking 社交网络
soft drink 软饮料
soften 软化
solar 太阳的
sold out 售罄
sole 鞋底
solely 仅仅
solicitor 律师
solo 独奏
someday 有朝一日
songwriter 歌曲作者
son-in-law 女婿
sophisticated 精密的
sophistication 精密
so-so 马马虎虎
soul 灵魂
sound 声音
soundness 健全
southeast 东南
southeast 东南部
southwest 西南
southwest 西南部
souvenir 纪念品
sow 播种
sower 播种者
space 空间
spacious 宽敞的
spaciously 宽敞地
spaciousness 宽敞
spade 铲
spare 备用的
sparkle 闪耀
specialist 专家
specially 特别地
species 物种
specifically 具体地
specify 指定
spectacular 壮观的
spectacularly 壮观地
spectator 观众
spending 开支
sphere 球体
spice 香料
spine 脊柱
spiritual 精神的
spiritually 精神上地
spit 吐
spite 恶意
splash 溅
splendid 辉煌的
splendidly 辉煌地
spoken 口语的
spokesman 发言人
spokesperson 发言人
spokeswoman 女发言人
sponge 海绵
sports car 跑车
sports centre 体育中心
spot 地点
spread 传播
spring 春天
spy 间谍
spy 侦察
spying 间谍活动
squad 小队
squash 挤压
squeak 吱吱声
squirrel 松鼠
stab 刺
stable 稳定的
stable 马厩
stably 稳定地
stage 舞台
stagger 蹒跚
staircase 楼梯
stale 不新鲜的
staleness 不新鲜
stall 摊位
stamp 邮票
staple 主要的
star 星星
stare 凝视
starter 开胃菜
starve 挨饿
state 状态
statistic 统计数据
statistical 统计的
statistically 统计上地
statue 雕像
status 地位
stay 停留
steadily 稳定地
steadiness 稳定
steady 稳定的
steam 蒸汽
steam 蒸
steel 钢
steep 陡峭的
steeply 陡峭地
steepness 陡峭
steer 驾驶
steering wheel 方向盘
stem 茎
stepfather 继父
stepmother 继母
stereotype 刻板印象
stereotypical 刻板的
stereotypically 刻板地
stew 炖菜
stickiness 黏性
sticky 黏的
stiff 僵硬的
stiffly 僵硬地
stiffness 僵硬
sting 刺痛
sting 刺
stink 发臭
stock 库存
stolen 被盗的
storage 储存
stove 火炉
straightforward 直截了当的
straightforwardly 直截了当地
straightforwardness 直截了当
strain 压力
strain 拉伤
strangely 奇怪地
stranger 陌生人
strap 带子
strategic 战略的
strategically 战略地
strategy 策略
straw 吸管
streak 条纹
strengthen 加强
strict 严格的
strictly 严格地
strictness 严格
strip 条
stripe 条纹
striped 有条纹的
stroke 中风
stroke 抚摸
strongly 强烈地
struggle 挣扎
struggle 挣扎
stubborn 固执的
stubbornly 固执地
stubbornness 固执
stuck 卡住的
stuff 东西
submarine 潜水艇
submit 提交
subsequent 随后的
subsequently 随后
substantial 大量的
substitute 替代
substitute 替代品
subtle 微妙的
subtly 微妙地
suburb 郊区
subway 地铁
suck 吸
sufficient 足够的
sufficiently 充分地
sum 总和
summary 摘要
sunlight 阳光
sunrise 日出
sunset 日落
sunshine 阳光
suntan 晒黑
suntanned 晒黑的
superb 极好的
superbly 极好地
superior 优越的
superstore 大型超市
surfing 冲浪
surgeon 外科医生
surgery 手术
surprisingly 令人惊讶地
surrender 投降
surrounding 周围的
surroundings 环境
survey 调查
survival 生存
survivor 幸存者
suspect 怀疑
suspicion 怀疑
suspicious 可疑的
sustain 维持
swallow 吞咽
swap 交换
sway 摇摆
swear 发誓
swearing 咒骂
sweat 汗水
sweat 出汗
sweetheart 亲爱的
swim 游泳
swimsuit 泳衣
swing 摇摆
sword 剑
syllable 音节
sympathetic 同情的
sympathetically 同情地
sympathy 同情
tablespoon 汤匙
tackle 处理
tackler 抢断者
tactic 战术
talented 有天赋的
talkative 爱说话的
tap 轻拍
tap 水龙头
tape 胶带
tasty 美味的
team 团队
teapot 茶壶
tease 取笑
teaspoon 茶匙
technician 技术员
technological 技术的
technologically 技术上地
teen 青少年
teenage 青少年的
telephone 电话
telescope 望远镜
temper 脾气
temple 寺庙
tempt 引诱
temptation 诱惑
tempting 诱人的
tenant 租客
tendency 趋势
tense 紧张的
tense 时态
tensely 紧张地
tenseness 紧张
tension 紧张
tent 帐篷
terminal 终点站
terminal 终点的
terminally 最终地
terminate 终止
terrace 露台
terracing 梯田
terribly 可怕地
terrific 极好的
terrified 吓坏了的
terrify 使...恐惧
terrifying 令人恐惧的
terrifyingly 令人恐惧地
territory 领土
terror 恐怖
terrorism 恐怖主义
terrorist 恐怖分子
textile 纺织品
textural 质地的
texturally 质地地
texture 质地
thanks 谢谢
theft 盗窃
theoretical 理论的
therapist 治疗师
therapy 治疗
there 在那里
thermometer 温度计
thief 小偷
thigh 大腿
thin 薄的
thinking 思考
thinly 薄薄地
thirst 口渴
thorough 彻底的
thoroughly 彻底地
thoroughness 彻底
thread 线
thrill 激动
thrill 刺激
thrilled 感到兴奋的
thriller 惊悚片
thrilling 令人兴奋的
thrillingly 令人兴奋地
throne 王座
throw 扔
thrust 推力
thunder 雷
thunderstorm 雷暴
thus 因此
tick 滴答声
tickle 挠痒痒
tide 潮汐
tidy 整洁的
tighten 拉紧
tightly 紧密地
tile 瓷砖
timber 木材
timing 时机
tin 锡
tip 尖端
to 到
toast 吐司
toaster 烤面包机
tobacco 烟草
toilet paper 卫生纸
tolerance 容忍
tolerant 宽容的
tolerate 容忍
ton 吨
tone 音调
torch 火炬
toss 抛
total 总计
tour 旅行
tourism 旅游
tournament 锦标赛
tower 塔
town hall 市政厅
toxic 有毒的
toxicity 毒性
trace 追踪
trace 痕迹
traceable 可追溯的
trade 贸易
traditionally 传统地
traffic jam 交通堵塞
tragedy 悲剧
tragic 悲剧的
trail 小径
trail 追踪
trailer 拖车
trainee 受训者
trainer 训练员
trait 特征
transfer 转移
transfer 转移
transferability 可转移性
transferable 可转移的
transform 转变
transition 过渡
translator 翻译
transparent 透明的
transparently 透明地
transport 运输
transportable 可运输的
trap 陷阱
trap 困住
traveller 旅行者
tray 托盘
treasure 宝藏
treaty 条约
tremble 颤抖
tremendous 巨大的
tremendously 极大地
trend 趋势
tribe 部落
tribute 贡品
tricky 棘手的
trigger 触发
trim 修剪
trip 旅行
triple 三倍的
triple 三倍
triumph 胜利
trivial 微不足道的
trophy 奖杯
tropical 热带的
trouble 麻烦
truly 真正地
trumpet 小号
tuck 塞
tug 拉
tuition 学费
tummy 肚子
tutor 导师
twig 细枝
twiggy 瘦弱的
twin 双胞胎
twist 扭曲
twisted 扭曲的
typically 典型地
ultimate 最终的
ultimately 最终
unacceptable 不可接受的
unacceptably 不可接受地
unaware 未察觉的
uncertain 不确定的
uncertainly 不确定地
uncertainty 不确定性
unchanging 不变的
unclear 不清楚的
unconscious 无意识的
unconsciously 无意识地
unconsciousness 无意识
uncover 揭露
underestimate 低估
undergo 经历
undergraduate 本科生
underground 地下的
underline 下划线
underlying 潜在的
undermine 破坏
underpants 内裤
understanding 理解
undertake 承担
undertaking 事业
underwater 水下的
undo 撤销
undone 未完成的
undoubtedly 毫无疑问地
undress 脱衣服
unexpected 意想不到的
unexpectedly 出乎意料地
unfashionable 不时髦的
unfinished 未完成的
unfold 展开
unfortunate 不幸的
unfriendly 不友好的
unhealthily 不健康地
unhealthy 不健康的
unhurt 未受伤的
union 工会
unite 联合
united 联合的
unity 团结
universal 普遍的
universality 普遍性
universe 宇宙
unkind 不友善的
unkindly 不友善地
unkindness 不友善
unlimited 无限的
unlock 解锁
unnecessarily 不必要地
unnecessary 不必要的
unpleasant 不愉快的
unpleasantly 不愉快地
unpopular 不受欢迎的
unpopularity 不受欢迎
unreasonable 不合理的
unreasonably 不合理地
unreliable 不可靠的
unsuccessful 不成功的
unsuccessfully 不成功地
unusually 不寻常地
unwilling 不情愿的
